Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed
2020-02-01 00:00:00,2020-01-01 00:00:00,01/01/2020 01:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No
2020-01-01 19:00:00,2020-01-01 01:00:00,01/01/2020 06:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No
2020-02-01 05:00:00,2020-01-01 02:00:00,01/01/2020 14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No
2020-01-01 05:00:00,2020-01-01 03:00:00,01/01/2020 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes
2020-01-01 21:00:00,2020-01-01 04:00:00,01/01/2020 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes
2020-02-01 03:00:00,2020-01-01 05:00:00,01/01/2020 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes
2020-01-01 16:00:00,2020-01-01 06:00:00,01/01/2020 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes
2020-02-01 10:00:00,2020-01-01 07:00:00,02/01/2020 06:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No
2020-04-01 03:00:00,2020-01-01 08:00:00,02/01/2020 06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No
2020-03-01 07:00:00,2020-01-01 09:00:00,01/01/2020 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No
2020-02-01 13:00:00,2020-01-01 10:00:00,01/01/2020 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes
2020-03-01 09:00:00,2020-01-01 11:00:00,01/01/2020 22:16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No
2020-01-01 16:00:00,2020-01-01 12:00:00,01/01/2020 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes
2020-02-01 22:00:00,2020-01-01 13:00:00,01/01/2020 17:46,Mumbai,436,ASSAULT,32,X,Other,Violent Crime,18,No
2020-02-01 00:00:00,2020-01-01 14:00:00,01/01/2020 22:28,Bangalore,266,SEXUAL ASSAULT,77,F,Other,Violent Crime,19,No
2020-02-01 07:00:00,2020-01-01 15:00:00,01/01/2020 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes
2020-03-01 07:00:00,2020-01-01 16:00:00,02/01/2020 02:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No
2020-04-01 02:00:00,2020-01-01 17:00:00,01/01/2020 23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No
2020-02-01 20:00:00,2020-01-01 18:00:00,02/01/2020 10:42,Bangalore,480,CYBERCRIME,11,M,Other,Other Crime,3,Yes
2020-03-01 18:00:00,2020-01-01 19:00:00,02/01/2020 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes
2020-03-01 22:00:00,2020-01-01 20:00:00,02/01/2020 02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes
2020-03-01 12:00:00,2020-01-01 21:00:00,02/01/2020 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes
2020-02-01 10:00:00,2020-01-01 22:00:00,01/01/2020 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No
2020-03-01 09:00:00,2020-01-01 23:00:00,01/01/2020 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No
2020-03-01 01:00:00,2020-01-02 00:00:00,02/01/2020 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No
2020-02-01 16:00:00,2020-01-02 01:00:00,02/01/2020 08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes
2020-02-01 06:00:00,2020-01-02 02:00:00,02/01/2020 04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No
2020-02-01 15:00:00,2020-01-02 03:00:00,02/01/2020 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,Other,Other Crime,7,No
2020-04-01 14:00:00,2020-01-02 04:00:00,02/01/2020 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No
